house_id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
12,20,RL,70,18044,Pave,none,IR1,HLS,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,8,5,1986,1986,Gable,CompShg,WdShing,Plywood,None,0,Gd,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0,279,279.0,GasA,Gd,Y,SBrkr,2726,0,0,2726,0,0,2,1,2,1,Gd,6,Typ,1,Gd,Attchd,Fin,2,691,Gd,Gd,Y,216,64,169,0,0,228,none,0,8,2007,WD,Normal,315000
13,80,RL,87,11084,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,192.0,Unf,0,192,384.0,GasA,Ex,Y,SBrkr,744,630,0,1374,1,0,2,1,3,1,Gd,8,Typ,1,Gd,BuiltIn,Fin,2,400,TA,TA,Y,100,0,0,0,0,0,none,0,6,2007,WD,Family,175000
14,20,RL,61,7328,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,140,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1450,1450.0,GasA,Ex,Y,SBrkr,1450,0,0,1450,0,0,2,0,2,1,Gd,6,Typ,0,none,Attchd,RFn,3,788,TA,TA,Y,0,93,0,0,0,0,none,0,2,2009,New,Partial,224243
15,30,RL,55,8250,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1935,1950,Gable,CompShg,WdSdng,WdSdng,None,0,TA,TA,Slab,none,none,none,none,0.0,none,0,0,0.0,GasA,TA,N,SBrkr,1032,0,0,1032,0,0,1,0,2,1,TA,6,Typ,1,TA,Detchd,Unf,1,260,TA,TA,Y,0,0,121,0,0,0,none,0,6,2006,WD,Normal,125000
16,160,FV,0,4447,Pave,none,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,530,530.0,GasA,Ex,Y,SBrkr,530,550,0,1080,0,0,2,1,2,1,Gd,4,Typ,0,none,Attchd,RFn,2,496,TA,TA,Y,0,50,0,0,0,0,none,0,7,2006,WD,Normal,139000
17,20,RL,53,8128,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1954,1954,Hip,CompShg,MetalSd,MetalSd,BrkFace,80,TA,TA,CBlock,TA,TA,No,ALQ,490.0,Unf,0,572,1062.0,GasA,Gd,Y,SBrkr,1062,0,0,1062,1,0,1,0,3,1,TA,6,Typ,0,none,Attchd,Unf,1,297,TA,TA,Y,0,0,0,0,0,0,none,0,2,2009,WD,Normal,131000
18,120,RM,41,5748,Pave,none,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,Stone,473,Gd,TA,PConc,Ex,TA,Gd,GLQ,1573.0,Unf,0,0,1573.0,GasA,Ex,Y,SBrkr,1778,0,0,1778,2,0,2,0,2,1,Ex,5,Typ,1,Gd,Attchd,Fin,2,495,TA,TA,Y,123,53,0,0,153,0,none,0,2,2006,New,Partial,375000
19,30,RM,51,6120,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,6,1925,1999,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,960,960.0,GasA,Gd,Y,SBrkr,995,0,0,995,0,0,1,0,2,1,TA,5,Typ,0,none,Detchd,Unf,1,264,TA,TA,Y,0,15,51,0,0,0,MnPrv,0,3,2009,WD,Abnorml,115000
20,20,RL,0,10920,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0,520,1253.0,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,GdWo,0,5,2008,WD,Normal,157000
21,20,RL,70,11767,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,HdBoard,HdBoard,BrkFace,259,TA,TA,CBlock,TA,TA,No,Rec,546.0,Unf,0,604,1150.0,GasA,Ex,Y,SBrkr,1560,0,0,1560,0,0,1,0,2,1,TA,7,Min1,1,TA,Attchd,Unf,1,313,TA,TA,Y,0,0,0,0,0,0,none,0,5,2009,WD,Normal,103500
22,180,RM,35,3675,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0,0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,1,0,1,0,2,1,TA,5,Typ,0,none,Basment,Fin,2,525,TA,TA,Y,0,44,0,0,0,0,none,0,10,2006,New,Partial,142500
23,50,RL,78,15600,Pave,none,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,1949,2005,Gable,CompShg,BrkComm,BrkCmn,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,312.0,Rec,507,248,1067.0,GasW,Fa,N,SBrkr,986,537,0,1523,1,0,2,0,3,1,Fa,7,Maj2,1,TA,Attchd,Unf,1,295,TA,TA,Y,0,0,81,0,0,0,none,0,10,2009,WD,Normal,158000
24,60,RL,70,8749,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,none,0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,840,840.0,GasA,Ex,Y,SBrkr,840,885,0,1725,0,0,2,1,3,1,Gd,6,Typ,0,none,Attchd,RFn,2,550,TA,TA,Y,0,48,0,0,0,0,none,0,11,2009,WD,Normal,198500
25,30,RM,50,6000,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1921,1950,Gable,CompShg,WdSdng,WdShng,None,0,TA,TA,CBlock,TA,TA,No,LwQ,616.0,Unf,0,0,616.0,GasA,Gd,Y,SBrkr,616,0,0,616,0,0,1,0,2,1,TA,4,Typ,0,none,Detchd,Unf,1,205,TA,TA,Y,0,0,129,0,0,0,none,0,6,2006,WD,Normal,89000
26,120,RM,37,4435,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169,Gd,TA,PConc,Gd,TA,Mn,GLQ,662.0,Unf,0,186,848.0,GasA,Ex,Y,SBrkr,848,0,0,848,1,0,1,0,1,1,Gd,3,Typ,1,Gd,Attchd,RFn,2,420,TA,TA,Y,140,0,0,0,0,0,none,0,5,2006,WD,Normal,155900
27,20,RL,129,16870,Pave,none,IR1,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,238,Gd,TA,PConc,Ex,TA,Gd,GLQ,1531.0,Unf,0,251,1782.0,GasA,Ex,Y,SBrkr,1782,0,0,1782,1,0,2,0,3,1,Gd,7,Typ,2,Gd,Attchd,Fin,3,932,TA,TA,Y,99,82,0,0,0,0,none,0,4,2009,WD,Normal,296000
28,20,RL,65,10237,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,1Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,28.0,Unf,0,1288,1316.0,GasA,Ex,Y,SBrkr,1316,0,0,1316,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,Fin,2,397,TA,TA,Y,100,0,0,23,0,0,none,0,10,2006,New,Partial,169990
29,20,RL,68,9571,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,WdSdng,WdSdng,None,0,TA,TA,CBlock,TA,TA,Av,BLQ,739.0,Unf,0,405,1144.0,GasA,TA,Y,SBrkr,1144,0,0,1144,1,0,1,0,3,1,TA,6,Typ,0,none,Attchd,Unf,1,596,TA,TA,Y,44,0,0,0,0,0,none,0,6,2010,WD,Normal,129000
30,20,RL,90,15750,Pave,none,Reg,Lvl,AllPub,FR3,Gtl,CollgCr,Feedr,Norm,1Fam,1Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,260,Gd,TA,PConc,Gd,TA,Gd,GLQ,1246.0,Unf,0,216,1462.0,GasA,Ex,Y,SBrkr,1513,0,0,1513,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,Fin,2,521,TA,TA,Y,135,34,0,0,0,0,none,0,6,2009,WD,Normal,220000
31,20,FV,80,8000,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,833.0,Unf,0,659,1492.0,GasA,Ex,Y,SBrkr,1492,0,0,1492,1,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,596,TA,TA,Y,277,137,0,0,0,0,none,0,4,2010,WD,Normal,230000
32,50,RL,60,10284,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,7,1925,1993,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Mn,ALQ,1030.0,LwQ,66,55,1151.0,GasA,Ex,Y,SBrkr,845,436,0,1281,1,0,2,0,1,1,TA,6,Mod,0,none,Detchd,Unf,2,580,TA,TA,Y,0,0,0,0,0,0,none,0,8,2007,WD,Abnorml,128500
33,50,RL,71,8520,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,4,1952,1952,Gable,CompShg,BrkFace,WdSdng,None,0,TA,Fa,CBlock,TA,TA,No,Rec,507.0,Unf,0,403,910.0,GasA,Fa,Y,SBrkr,910,475,0,1385,0,0,2,0,4,1,TA,6,Typ,0,none,Detchd,Unf,2,720,TA,TA,Y,0,0,0,0,0,0,MnPrv,0,6,2010,WD,Normal,166000
34,30,RM,60,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,Mansard,CompShg,VinylSd,VinylSd,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0,641,641.0,GasA,Gd,Y,SBrkr,1047,0,0,1047,0,0,1,0,2,1,TA,6,Typ,0,none,Detchd,Unf,1,273,Fa,Fa,N,0,0,0,0,0,0,none,450,8,2007,WD,Normal,100000
35,20,RL,64,7360,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2010,2010,Gable,CompShg,VinylSd,VinylSd,Stone,80,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0,1198,1222.0,GasA,Ex,Y,SBrkr,1222,0,0,1222,0,0,2,0,2,1,Gd,6,Typ,0,none,Attchd,RFn,2,615,TA,TA,Y,0,54,0,0,0,0,none,0,3,2010,WD,Normal,187000
36,60,FV,0,7050,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,738.0,Unf,0,319,1057.0,GasA,Ex,Y,SBrkr,1057,872,0,1929,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,650,TA,TA,Y,0,235,0,0,0,0,none,0,5,2007,WD,Normal,226000
37,70,RL,74,11988,Pave,none,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,None,0,TA,TA,CBlock,TA,TA,No,LwQ,326.0,Unf,0,389,715.0,GasA,Fa,Y,FuseA,849,811,0,1660,0,0,1,1,3,1,TA,6,Typ,1,Gd,Detchd,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,none,0,8,2008,WD,Normal,188700
38,120,FV,34,3628,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1143,1143.0,GasA,Ex,Y,SBrkr,1143,0,0,1143,0,0,1,1,1,1,Gd,5,Typ,1,Gd,Attchd,RFn,2,588,TA,TA,Y,0,191,0,0,0,0,none,0,5,2006,WD,Normal,176400
39,20,RL,68,9571,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,257.0,Unf,0,816,1073.0,GasA,TA,Y,FuseA,1073,0,0,1073,1,0,1,0,2,1,TA,5,Typ,0,none,Attchd,Unf,1,340,TA,TA,Y,0,0,0,0,0,0,GdPrv,0,2,2009,WD,Normal,121500
40,120,RL,38,14963,Pave,none,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,786.0,Unf,0,474,1260.0,GasA,Ex,Y,SBrkr,1288,0,0,1288,1,0,1,1,1,1,Ex,4,Typ,2,Gd,Attchd,Fin,2,500,TA,TA,Y,120,30,0,0,224,0,none,0,12,2008,WD,Normal,245500
41,20,RL,0,11500,Pave,none,IR1,Bnk,AllPub,CulDSac,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,6,1966,1966,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,Gd,Gd,LwQ,262.0,ALQ,723,197,1182.0,GasA,Ex,Y,SBrkr,1643,0,0,1643,1,0,2,0,2,1,TA,6,Typ,1,Gd,Attchd,Unf,2,438,TA,TA,Y,339,0,0,0,0,0,none,0,3,2008,WD,Normal,195000
42,60,RL,88,12665,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,245,Gd,TA,PConc,Gd,Gd,Gd,Unf,0.0,Unf,0,1094,1094.0,GasA,Ex,Y,SBrkr,1133,1349,0,2482,0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,642,TA,TA,Y,144,39,0,0,0,0,none,0,2,2007,WD,Normal,281213
43,20,RL,0,8885,Pave,none,IR1,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Av,BLQ,301.0,ALQ,324,239,864.0,GasA,TA,Y,SBrkr,902,0,0,902,1,0,1,0,2,1,TA,5,Typ,0,none,Attchd,Unf,2,484,TA,TA,Y,164,0,0,0,0,0,MnPrv,0,6,2006,WD,Normal,131000
44,20,RL,73,8899,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0,1316,1340.0,GasA,Ex,Y,SBrkr,1340,0,0,1340,0,0,2,0,3,1,Gd,6,Typ,0,none,Attchd,Fin,2,396,TA,TA,Y,100,30,0,0,0,0,none,0,8,2007,New,Partial,181134
45,160,RL,36,2448,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,WdShng,Stone,106,Gd,TA,PConc,Gd,TA,No,GLQ,573.0,Unf,0,191,764.0,GasA,Ex,Y,SBrkr,764,862,0,1626,1,0,2,1,2,1,Gd,6,Typ,0,none,BuiltIn,RFn,2,474,TA,TA,Y,0,27,0,0,0,0,none,0,10,2008,WD,Normal,154000
46,80,RL,80,13014,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1978,1978,Gable,CompShg,HdBoard,Plywood,BrkFace,39,TA,TA,CBlock,TA,TA,Av,ALQ,528.0,Unf,0,480,1008.0,GasA,TA,Y,SBrkr,1096,0,0,1096,1,0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,Unf,2,484,TA,TA,Y,168,0,0,0,0,0,none,0,12,2008,WD,Normal,157500
47,70,RM,60,3600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1917,2007,Gable,CompShg,Stucco,Stucco,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,624,624.0,GasA,Ex,Y,SBrkr,664,624,0,1288,1,0,1,0,3,1,Ex,5,Typ,1,Gd,Attchd,Unf,1,280,TA,TA,N,0,103,0,0,0,0,none,0,5,2009,WD,Normal,119000
48,70,RL,96,13132,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,5,5,1914,1950,Gable,CompShg,WdSdng,WdSdng,None,0,TA,TA,BrkTil,Gd,TA,Mn,Unf,0.0,Unf,0,747,747.0,GasA,Gd,Y,FuseF,892,892,0,1784,0,0,1,1,4,1,TA,9,Typ,0,none,Detchd,Unf,1,180,Fa,Fa,N,203,40,0,0,0,0,none,0,7,2006,WD,Normal,138887
49,120,RL,48,6240,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Hip,CompShg,MetalSd,MetalSd,BrkFace,176,Gd,TA,PConc,Gd,TA,No,GLQ,863.0,Unf,0,461,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,1324,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,Fin,2,550,TA,TA,Y,192,38,0,0,0,0,none,0,12,2009,WD,Normal,254000
50,20,RL,90,14115,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7,1956,2004,Gable,CompShg,Stone,Stone,None,0,TA,TA,PConc,TA,TA,No,ALQ,296.0,GLQ,547,230,1073.0,GasA,Ex,Y,SBrkr,1811,0,0,1811,0,0,1,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,470,TA,TA,Y,0,0,280,0,0,0,none,0,7,2006,WD,Abnorml,230000
51,50,RL,78,17503,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0,912,912.0,GasA,TA,Y,SBrkr,912,546,0,1458,0,1,1,0,3,1,TA,6,Typ,1,Gd,Attchd,Unf,1,330,TA,TA,Y,192,0,0,0,0,0,none,0,1,2010,WD,Abnorml,97500
52,20,FV,100,11824,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,298,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0,1685,1685.0,GasA,Ex,Y,SBrkr,1685,0,0,1685,0,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,Fin,3,658,TA,TA,Y,112,63,0,0,0,0,none,0,4,2007,WD,Normal,253000
