tweet_id,airline,text,sentiment_groundtruth,tweet_created
569642845516275700,Virgin America,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,negative,2015-02-22
568807928154558460,United,@united: Worse - headed to LaGuardia (delayed).  Why is the tray table the size of a mouse pad and the overhead the size on my pocket?,negative,2015-02-20
569592177312923650,American,@AmericanAir my flight was Cancelled Flightled from Laguardia to Louisville Ky and i am  stuck at the airport. Do you guys compensate for this?,negative,2015-02-22
569968886227050500,US Airways,@USAirways I want to speak with someone immediately. I am shaking with rage. I offered to hate check my bag and Derrick bussey treated me,negative,2015-02-23
568913412505251840,Southwest,@SouthwestAir http://t.co/tTXRSyNLxr doesn't work on my flight. Just fyi.,negative,2015-02-20
567827255088390140,Southwest,@SouthwestAir I'm concerned that you will Cancelled Flight my flight out of BNA tomorrow am. Should I be?,negative,2015-02-17
570235698608869400,United,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,negative,2015-02-24
569646601398067200,American,@AmericanAir why does your RTW planner (spec. Circle Pacific) not let me even plan the demo routes from your website?,negative,2015-02-22
567870895383015400,Southwest,"@SouthwestAir Hey yea I got thru...everything is good now (well, in 7-10 days when the voucher goes through)  Appreciate it!",positive,2015-02-17
569675774627848200,American,"@AmericanAir just when I thought you guys were done messing up, you make it worse. Your airline ruins hopes and dreams.",negative,2015-02-22
569942094766325760,American,@AmericanAir get me outta here,negative,2015-02-23
569692835907129340,US Airways,"@USAirways What is with your lost &amp; found.  My wife lost her phone in Philly, &amp; followed your web instructions to call an 800#.  No answer.",negative,2015-02-22
569653752279531500,American,"@AmericanAir plane breaks, unloads the passengers, told to re enter to only come back off. Flight Cancelled Flightled, missed wedding. #badbusiness",negative,2015-02-22
569930292024221700,US Airways,@USAirways your delayed flight out of Wilmington made me miss my flight out of Charlotte. Figure out how to take off and arrive on time.,negative,2015-02-23
569683780593545200,Southwest,@SouthwestAir why does the customer service have rather inconsistent information,negative,2015-02-22
569453233044885500,Southwest,@SouthwestAir #flight #Cancelled Flightled...tried to get refund but on hold. Can I get it after my flight would have departed?,negative,2015-02-22
568550726311346200,Southwest,@SouthwestAir Did yall get rid of the Austin to Cabo flights all together? There's zero non-stop in Aug and Sept,negative,2015-02-19
567865703765798900,US Airways,"@USAirways No, they won't because after 5 hours of holding I had to give up because I couldn't borrow the phone any longer. 5 hours...",negative,2015-02-17
570224727047872500,United,@united So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag....,negative,2015-02-24
568475305675001860,US Airways,@USAirways what an amazing day. Delayed 4 hrs bc frozen h2o on plane Now sitting @ gate on same plane 4 30 mins still waiting! #flight1797,negative,2015-02-19
569491240481382400,US Airways,@USAirways instead of tweeting your customers apologizing why don't you pick up your phone,negative,2015-02-22
569186566247051260,United,@united bags arrived - I sure miss the customer focused days when I used to fly @ContinentalAir1 Here's hoping @united wakes up,negative,2015-02-21
568149201466617860,United,@united As a Million Miler I've been delayed plenty. NEVER in the amateurish way@SilverAirwsys does it. I'd be embarrassed to be affiliated.,negative,2015-02-18
569247182475407360,Delta,@JetBlue we want room and food allowances. Agents are refusing to give us vouchers to use at rooms we book ourselves.,negative,2015-02-21
569504928810414100,US Airways,@USAirways waiting for you to figure it out. This is unacceptable.,negative,2015-02-22
569630715698151400,American,"@AmericanAir Where are your ticket offices in Boston? Impossible to book by phone or use voucher on website, what a headache! PLEASE HELP!",negative,2015-02-22
568228614275260400,US Airways,"@USAirways attempting ckin for flight on 2/19 all day, site unable to retrieve details.  Called twice and disconnected.",negative,2015-02-18
568066927723212800,Delta,"@JetBlue Great flight, as always! Thank you to the great crew on flight 475! #travel #jetblue",positive,2015-02-18
570115988714164200,American,@AmericanAir but your flight crews &amp; ground crews have handled situation well. Texting notification let me catch a few winks during delay.,positive,2015-02-23
568944096687075300,United,@united made me remove 1 pound from my checked bag otherwise they would charge me $200. Loyal flier for 10 years - time for change.,negative,2015-02-20
568037880859222e3,United,@united sorry to hear outsourcing plan. Boise is best staff/cust service in the country. #boise,positive,2015-02-18
570263448828780540,American,@AmericanAir great customer service thanks,positive,2015-02-24
569337274707660800,US Airways,@USAirways Thanks guys! Got hold of someone. Really awesome service I appreciate it :),positive,2015-02-21
568435290722975740,United,"@united That doesn’t make any sense. I’ve been 1K for over 5 years, and you’re making it harder to keep me loyal.",negative,2015-02-19
570151698489954300,United,@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome,negative,2015-02-24
569441937826164740,United,@united @MaxAbrahms *if* he needs assistance? Do you expect him to go on a Scooby Doo tour of terminals until he finds his stuff?,negative,2015-02-22
568677317590937600,United,"@united Another unfortunate case of bad luck, usually maintenance issue. They are now swapping planes to ONT, will get in Late Flight. :(",negative,2015-02-19
569708004075044860,Delta,"@JetBlue Very disappointed with the lack of compassion from your baggage services dept. I nearly had to beg get just for a ""courtesy report""",negative,2015-02-22
568882601261273100,United,"@united its my one and only checked bag, which is checked to edinburgh, however i am being charged randomly from dc to newark",negative,2015-02-20
568937707994419200,US Airways,"@USAirways how can I make a purchase, you take the money but I don't have a reservation...Explain",negative,2015-02-20
569620102389350400,Virgin America,@VirginAmerica always!!! Xoxo,positive,2015-02-22
568999279936679940,Southwest,@southwestair Your staff was really kind about the flight delay. Luggage? Not at all. Very disappointing.,negative,2015-02-20
569255973958889500,Delta,"@JetBlue we tried. They're not at all helpful. Terrible customer service, at this airport, at least.",negative,2015-02-21
570259420287868900,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.,positive,2015-02-24
567768330624372740,Delta,"@JetBlue Thank you that it is not just a livery; it is a culture that 16,000+ crewmembers embody daily #thanksDave http://t.co/iNNP0Kkyby",positive,2015-02-17
569278020441284600,United,@united If you follow me I will DM you my phone # which you can call.,negative,2015-02-21
5.6925923898968883e+17,Southwest,@SouthwestAir - holding us hostage for about an hour with no updates if they are taking us to NY or not. What's going @southwestair,negative,2015-02-21
569671413671591940,US Airways,"@USAirways your service at PHL is abysmal. An hour on the runway waiting for a gate, no information anywhere, missed my connection abysmal!",negative,2015-02-22
568079446592385e3,US Airways,"@USAirways flight today showing on time online, not able to check in. Called &amp; told was Cancelled Flightled, put on hold over an hr ago. Help?",negative,2015-02-18
568124691673686e3,Delta,@JetBlue extra-speed line closed in Tampa. What gives?,negative,2015-02-18
568515696197439500,United,@united seriously? After waiting 2 hours on the plane for my 10:20 flight to leave at 3pm I have to leave the plane? Great. Just great.,negative,2015-02-19
569769708569767940,United,@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.),negative,2015-02-23
569847318062632960,United,"@united wasn't trying to Cancelled Flight, just trying to change my award ticket, same date and place, but thanks for sending the link, I know the fee",negative,2015-02-23
570280641503211500,Southwest,@SouthwestAir its flight #218 of that matters to you all. Hell next we all won't get our luggage properly transferred #facepalm #smh,negative,2015-02-24
569555930028748800,US Airways,@USAirways @JosephTReis Dont bother. They dont pick up the phone. Worst customer service going,negative,2015-02-22
570300817074462700,Virgin America,@VirginAmerica and it's a really big bad thing about it,negative,2015-02-24
568808470536962050,United,"@united @upgrd I guess the Kit Kat looks tasty... not going near that ""sandwich.""",negative,2015-02-20
569772113378218e3,American,@AmericanAir what sense is it to charge for a bag service when the service isn't great. Losing luggage and now missing items this is bs,negative,2015-02-23
5.6983643393180877e+17,American,@AmericanAir spent hour+ trying to check after to use military ID for luggage then messed up boarding pass &amp; forced into line again.,negative,2015-02-23
568783658150191100,US Airways,@USAirways are you fucking kidding me??? http://t.co/qjLzrYWFj2,negative,2015-02-20
569701285588541440,Southwest,@SouthwestAir waited 34 mins for baggage MDW&gt;MEM and the in-flight service was suspended so no drink 😕,negative,2015-02-22
569260955953176600,Delta,"@JetBlue I now learned that customer service at SXM works for the airport, not JetBlue. They need a supervisor to do anything.",negative,2015-02-21
568593538520231940,US Airways,"@USAirways I guess they only respond to compliments. Sorry, can't think@of even ONE.",negative,2015-02-19
569942569951600640,US Airways,"@USAirways take a look at 1715. All F seats filled, so someone upgraded their friend instead of following rules.",negative,2015-02-23
569896241196339200,US Airways,@USAirways no you call me.,negative,2015-02-23
568676407729131500,United,"@united still awaiting a reply from ur customer services?  18 days, no response? Lousy #unitedairlines",negative,2015-02-19
568690023513526300,United,@united has the worst flight attendants. They are like those angry and drunk aunts that we all have. Everything has to be an argument.,negative,2015-02-20
5.6882305057102643e+17,Southwest,@SouthwestAir give this guy a raise....great start to flight from AZ to MKE..,positive,2015-02-20
569723864252424200,American,@AmericanAir Toby hates you lol,negative,2015-02-22
569595595754639360,American,"@AmericanAir no hold times, just disconnections.   There is no excuse for that",negative,2015-02-22
568639824145584100,US Airways,@USAirways why load us on the flight if the captain was over the hours he could fly in one consecutive period? Unacceptable.,negative,2015-02-19
568795462125428740,US Airways,@USAirways headed to NYC from CLT. Funny to hear all phones ring at once and then the entire plane groan (has happened twice more).,negative,2015-02-20
5.6876629576168243e+17,Delta,@JetBlue haha no need to apologize 😁 I'll be Flight Booking Problems sooner than Late Flightr. I love JetBlue,positive,2015-02-20
570084582780899300,Virgin America,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative,2015-02-23
570015373447159800,US Airways,@USAirways 1500 characters are not enough to convey the issue. Was directed to emailmailto:customer.relations@usairways.com unmonitored. BAD,negative,2015-02-23
570240246719381500,American,"@AmericanAir No, had already waited an hour for it and wanted to get home.",negative,2015-02-24
568483559532568600,US Airways,@USAirways 1 person to check in 50 people and the plane boards in 20 minutes and he is telling people @AmericanAir exec bene's not honored,negative,2015-02-19
567731546661326850,Southwest,@SouthwestAir just disconnected my call after 2.5 hours without even speaking to me. #octaviannightmare,negative,2015-02-17
568769775515635700,Delta,@JetBlue I waited in line all that time to be told by a crewmember that there's no update until 9:30 #3HrDelay #disappointed,negative,2015-02-20
568676137699651600,Delta,@JetBlue your airline should have a better system to Inform your clients when their flights are Cancelled Flightled last min. 😒👺 we have schedules too,negative,2015-02-19
570267956648792060,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,positive,2015-02-24
569304533140185100,Southwest,@SouthwestAir Flight 3336 - why do multiple tracking sites have more up to date info than SWA's app and website?,negative,2015-02-21
5.6998751183090483e+17,US Airways,@USAirways IT HAS BEEN FOUND THANK YOU,positive,2015-02-23
570271479616573440,American,@AmericanAir @beantownmatty Sounds like a date!,positive,2015-02-24
569291509305970700,Southwest,"@SouthwestAir went to front restroom on plane, on sink sign that said no water, use hand sanitizer. First time I've ever seen that. GROSS!",negative,2015-02-21
568438000843034600,Southwest,"THANKS to @SouthwestAir , I get to go to the #DestinationDragons @Imaginedragons show this weekend in UTAH @VelourLive  !!! #ThankYou",positive,2015-02-19
567903653933101060,Delta,"@JetBlue shout out to the crew on flight 89 headed back to the big apple, they kept my glass half full the whole flight! #jetbluejfk",negative,2015-02-17
570295637708816400,US Airways,"@USAirways ur ""response"" was: my ""inconvenience was of no matter."" U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair",negative,2015-02-24
568971304914853900,US Airways,@USAirways would be less annoying if road conditions weren't getting worse with every min U keep passengers captive for no good reason.,negative,2015-02-20
568650933049147400,Southwest,"@SouthwestAir Promotion also said two free round trip flights. Nope, had to pay $200 extra for chi to Vegas. Bait&amp;switch.",negative,2015-02-19
569865022031015940,American,"@AmericanAir it would be awfully nice if you could send an alert when my flight is Cancelled Flighted. No text, no email, no love...",negative,2015-02-23
569678620878376960,American,"@AmericanAir FYI twice now I've tried the ""we'll call you when someone is free"" thing. Both times it called, I picked up, then it hung up.",negative,2015-02-22
5.6853023436806963e+17,United,@united You guys are atrocious.  Far better service as silver on Delta than you as a platinum.  I'll be switching back to delta.,negative,2015-02-19
568913418092224500,US Airways,@USAirways not happening #worstairlineever also Marie Burroughs is the worst customer service rep ever #yourairlinesucks,negative,2015-02-20
5.6991283587187917e+17,American,@AmericanAir I've been trying to call your reservations desk for past 12 hours and can't get through.  This is not what I expected.,negative,2015-02-23
570081206412431360,US Airways,@USAirways flight from Bhm delayed 5hrs! Connect flgt left us in clt at a motel,negative,2015-02-23
569879100971753500,US Airways,"@USAirways @AmericanAir me after arriving at 8:41am for a flight scheduled to depart at 8:57am. doors closed, no agents",negative,2015-02-23
569766247715319800,American,@AmericanAir flight Cancelled Flighted! I'm trying to get to #chicago. What are me and @justynmoro gonna do. #flying#flight#travel,negative,2015-02-22
570162212616212500,American,"@AmericanAir leave us stranded, send baggage with important medication to different city for 4days&amp;apologise with a $50 voucher. appalling.",negative,2015-02-24
567831434838159360,Delta,@JetBlue will call. Thank you!,positive,2015-02-17
570294451261874200,Delta,@DeltaAssist now at 57 minutes waiting on Silver Elite line for someone to pick up! Help!,negative,2015-02-24
569631027385245700,United,@united yes I have &amp; they're unsure when it would come.This has never happened on any airline and my first time with @united #disappointed,negative,2015-02-22
568228746697814e3,US Airways,@USAirways it shouldn't take longer to get to the gate than the flight itself takes.... 59 minutes flying time - 47 minutes on runway so far,negative,2015-02-18
569930403106172900,US Airways,@USAirways lots of fun to be removed from top of a list and manually readded to the bottom thanks to club agents. Thanks a lot Asha at DCA.,negative,2015-02-23
569342888615620600,United,"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?",negative,2015-02-21
569885185170223100,United,@united my PQMs and PQDs are no longer showing up correctly in my MileagePlus acct. How can I get this fixed?,negative,2015-02-23
570087324949864450,Delta,@JetBlue my wife sent me a family invite but I never accepted it. She should not be locked into a family account that never got created.,negative,2015-02-23
568081401053974500,US Airways,@USAirways 2 days and 2 hours on hold the other day. Charge me double for flights and can't even fix it. Worst service I've ever had,negative,2015-02-18
568812584469528600,US Airways,@USAirways horrible experience to key west lost luggage called to check &amp; was told not to call back reconsidering my flight back,negative,2015-02-20
570280637946421250,American,@AmericanAir and @iTunesMusic have put me in bad mood. I haven't been this angry since Spagnuolo coached the #Rams,negative,2015-02-24
5.6920719337710797e+17,United,@united I'm on snowy roads to BWI. I Just called MileagePlus &amp; told flight was Cancelled Flighted 1 1/2 hours ago. I rcvd no notification. Pls help,negative,2015-02-21
569729569428627460,American,@AmericanAir all good! I'm catching the 11:10p flight tonight. Thanks for the response.,positive,2015-02-22
567789435795861500,United,@united customer service 👎,negative,2015-02-17
5.6933946761550643e+17,United,@united well this one missed the mark.  She was in a snit from the minute I stepped up to the counter,negative,2015-02-21
568996536555851800,US Airways,"@USAirways the kind gentleman at the gate tells me to ""go left"" to get my hotel voucher at the ticket gate. Took about 20min to get there",negative,2015-02-20
569956624036540400,Southwest,@SouthwestAir will continue to be my airline of choice. @united -most frustrating travel day I've experienced. 5 delays and 4 gate changes?!,negative,2015-02-23
568102228587884540,US Airways,@USAirways stranded in Philly- #Starving and can't get a meal voucher even though your plane had mechanical issue /  next flight in 10 hrs,negative,2015-02-18
568772334632349700,Southwest,"@SouthwestAir you call this customer service?? Sitting in the tarmack for 1hr, lost bag, and you give me a $100. voucher???",negative,2015-02-20
569522479049400300,US Airways,"@USAirways My family, friends and colleagues will NEVER  fly USAir again. Bad weather happens. The good airlines seem to communicate better.",negative,2015-02-22
5.6812866580190003e+17,US Airways,@usairways would it kill you to let me know how many minutes I might be on hold?,negative,2015-02-18
568962468766212100,United,@united Booked 11 tix 1 month ago and now its about $157 CHEAPER and customer service was useless. What's up with that???,negative,2015-02-20
567742578561650700,Virgin America,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,positive,2015-02-17
569503745974902800,United,@united why would you overnight my bag Wed to an unknown location with a courier company you apparently can't contact!,negative,2015-02-22
569512656274468860,US Airways,@USAirways Hmmm. Did the flight even really exist or did they just create it last night to get people off their backs? #usairsucks,negative,2015-02-22
569810928449003500,American,@AmericanAir No I do not have them yet. Called for baggage status 5 times yesterday.,negative,2015-02-23
568482785389899800,Delta,@JetBlue Pooling and gifting are completely different.  I shouldn't have to be charged $375 to send points.  Its disgusting.,negative,2015-02-19
5.7013360722384077e+17,US Airways,@USAirways Excited that I'll be flying from Syracuse to interview in Dallas on Friday for the FA position- this is a goal &amp; dream of mine!,positive,2015-02-24
568898792755470340,United,"@united as for volunteers to give up seats, people did! Now we sit for 25 minutes on plane waiting 4 them to add more people!  #letsgo",negative,2015-02-20
568809510644527100,Delta,"@JetBlue we've been delayed for almost 2 hrs. I take JetBlue because I've had good luck, but today is really frustrating.",negative,2015-02-20
569078332278513660,United,"@united  UA 1706 there is no way a plane ""loses its software"" I believe you decided to do an upgrade...",negative,2015-02-21
567747787807526900,Southwest,@SouthwestAir yeah bruh its bool y'all niggaz just need to hire some more workers or something cause next time imma be forced ta disrespect.,negative,2015-02-17
570062210640322560,Southwest,@SouthwestAir your welcome. It was the thoughts of nearly the entire plane.,negative,2015-02-23
569621598849749e3,United,"@united 4994 out of Jackson, Wyoming... Delayed by no pilots.. Full toilets.. Deplaned 2ndary to mechanical fail.. Cancelled Flightled flight pending",negative,2015-02-22
568972562819997700,United,@united Thank you so much for your help with my birthday trip! Tickets are confirmed! :-),positive,2015-02-20
568878979576410100,US Airways,@USAirways since when does a maintenance problem and missing flight crew equal delayed due to weather? I'm confused since we had sunny skies,negative,2015-02-20
568440058895863800,Southwest,@SouthwestAir @jlittle100 Double up with this comment. PHL to anywhere South Florida is GONE GONE GONE. Hello US Air,negative,2015-02-19
568426007583170560,Southwest,@SouthwestAir my birthday is during #DestinationDragons and im a huge fan- anyway I can get tickets?,positive,2015-02-19
569874374741925900,Delta,@JetBlue keeps getting better. No water on the plane.,negative,2015-02-23
568085308727808e3,Southwest,@SouthwestAir Didn't see travel had to be compete for unused funds by expiration date hidden in the fine print. Never saw that before.,negative,2015-02-18
569502353797173250,United,@united now there is no one to operate the ramp to let us out of the plane in IAH...wow..just wow,negative,2015-02-22
570307948171423740,American,@AmericanAir why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?,negative,2015-02-24
570296212336865300,US Airways,"@USAirways Said only way to get on plane about to leave that would make my connection was a $75 fee. Instead of earlier, I am now Late Flightr!",negative,2015-02-24
567859714169708540,US Airways,@USAirways stuck in Charlotte being treated like a nobody by staff.,negative,2015-02-17
568213843618299900,US Airways,@USAirways Not a great experience for my first time flying US Airways. Going forward I'll probably be taking my business elsewhere.,negative,2015-02-18
569883077289181200,American,@AmericanAir can't get thru to anyone on phone,negative,2015-02-23
570092530236149760,American,@AmericanAir There are only 24 hours to Cancelled Flight or change itineraries booked online and that 24 hours is just about over. Impossible scenario,negative,2015-02-23
570073365265944600,Southwest,@SouthwestAir had a great flight to and from Cabo last week with my family #smoothflight #frequentflyer,positive,2015-02-23
569590013278756860,American,@AmericanAir Love the new planes for the JFK-LAX run.  Maybe one day I will be on one where the amenities all function.  #NoCharge #Ever,positive,2015-02-22
568770442292551700,US Airways,@USAirways hi is there somebody avail who can help .....with an refund ? its unbelievable on the phone w US for more than 7 hrs in 4 days,negative,2015-02-20
5.6861730575772877e+17,US Airways,"@USAirways Flights 890 was the delay, Flight 5136 was my missed connection… Help!",negative,2015-02-19
569884754281046e3,American,@AmericanAir can you?,negative,2015-02-23
5.6787569905646797e+17,US Airways,@USAirways I'm sure you don't but question still remains why we only found out at 8.20 that crew won't come before 9.50 for 8.10 flt. Tks.,negative,2015-02-17
569517323180236800,United,@united Delayed more and more these days. MCO &gt; IAD. Fingers crossed I make my connection home to Albany. #united1K,negative,2015-02-22
567828973893259260,United,@united: No friendly skies from you today. 5hr+ weather delay in SFO followed by 1hr+ mechanical delay while sitting on plane. #NoFun,negative,2015-02-17
568919686978641900,United,"@united is really getting horrible. So much for tucking in my kids tonight. Delta transfers miles/status, right? http://t.co/H6HN33JJJE",negative,2015-02-20
568073191068794900,US Airways,"@USAirways
Not one to complain much but really 1 hour 15minutes and still nothing. Agents or Agent ⤵ http://t.co/Q5SB0DaVuy",negative,2015-02-18
569554815539290100,United,@united this 2 hr delay is a vacation buzzkill,negative,2015-02-22
569551241967067140,United,@united really enjoying my Sunday on hold...over 1 hour. Perhaps a better client experience is needed. http://t.co/8VnCKgZxl1,negative,2015-02-22
569927263040315400,United,@united Great! I'm ready to go home.,positive,2015-02-23
570054360505323500,United,"@united It's taken ~3 weeks for Cust Care to respond to Case #8477733, requesting a refund for wi-fi not working. Where can I get an update?",negative,2015-02-23
568905143883849700,Delta,@JetBlue - looking forward to it when we finally take off.,positive,2015-02-20
569639294152806400,United,"@united -- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service? #worstairline",negative,2015-02-22
569617887637348350,American,"@AmericanAir really American Airlines , service is Las Vegas is shocking, absolute jokers take your reputation more seriously!",negative,2015-02-22
568882629409411100,US Airways,@USAirways Yes thank you. Appreciate u checking...,positive,2015-02-20
569989598388084740,American,Well @AmericanAir we won't be flying you. Rebooked on Jetblue. With credits (that actually work) it was free!,negative,2015-02-23
569305705750114300,Delta,"@JetBlue figured it out 4 flight 2morrow. Hard to believe with oil so low, and the killing u make that even part of a hotel can't be comp'd",negative,2015-02-21
5.7018950744777523e+17,American,@AmericanAir Sorry that is a sad answer a fully refundable first fare and no response in 6 weeks ! No more AA in my future !,negative,2015-02-24
567821242029359100,Southwest,@SouthwestAir what's yall corporate number bc yall are not trying to accommodate me at all!!!,negative,2015-02-17
5.6929329565586637e+17,United,@united never again.,negative,2015-02-21
567823996852428800,Southwest,@SouthwestAir stop ur bs promos of ✈️anywhere starting at 79$ I click and everywhere I'd fly=130$ The only place thats 79$ is CLE #NoThanks,negative,2015-02-17
569681863939371e3,American,@AmericanAir was told at 7pm my bags would 1000% be at my house by 9pm. Well they're not and I continue to be lied to.,negative,2015-02-22
569721150156230660,Delta,"@jetblue - WTF, stuck at JFK for 2+ hrs in a delay to Boston cuz u say snow.  No snow on weather map!!!  WTF!!!",negative,2015-02-22
568252909231738900,United,"@united @christinebpc ...and on some versions of the 738, row 11 has no window at all. Go ahead, check. We'll wait.",negative,2015-02-18
568184231819481100,United,"@united can't DM, you're not following. LLY144. Rebooked on #UA1516 but still need seats.",negative,2015-02-18
5.6867049864670003e+17,Delta,@JetBlue the slowest boarding process I've ever experienced and rude customer service agents.,negative,2015-02-19
5.6968660294085837e+17,US Airways,@USAirways why the hell did you overbook a plane when you knew people actually had seat assignments. #inept #uncaring #piss poorplanning,negative,2015-02-22
569701794714128400,Southwest,".@SouthwestAir glad you appreciate it, it’ll be the last dollar you ever get from me thanks to your wretched customer service",negative,2015-02-22
569989557644623900,United,@united I filed a delayed bag report on Saturday! my flight was Cancelled Flightled and I never went anywhere!,negative,2015-02-23
567758296417718300,Southwest,"@SouthwestAir is there a problem with the website? I tried making changes w/ the app and the site but got ""unspecified errors""",negative,2015-02-17
570264159687807e3,American,@AmericanAir the flight is not going to make the connection to #MEX #AA2444,negative,2015-02-24
568056665821413400,Delta,.@JetBlue 4 min response time. I'm impressed! I'm in. It's official.  :-) #trueblue  JetBlue gets social.,positive,2015-02-18
5.6935870131786957e+17,Southwest,@SouthwestAir yall have me sleeping in the airport until 4pm tomorrow! thanks,negative,2015-02-21
568583414519083e3,Delta,@JetBlue delayed flight bummer,negative,2015-02-19
569971216934527e3,American,@AmericanAir What's with your baggage handlers calling out at DFW today? No luggage onboard the planes.,negative,2015-02-23
